@relation output_auxiliar_tweet

@attribute topic {microsoft,google,apple,twitter}
@attribute class {positive,negative,neutral,irrelevant}
@attribute TweetId numeric
@attribute TweetDate string
@attribute TweetText string

@data
twitter,neutral,1.26876843272974336E17,'Thu Oct 20 04:26:11 +0000 2011','#Twitter #Followers #Free  http   t.co 63VeKuZr'
twitter,negative,1.26869063023607808E17,'Thu Oct 20 03:55:16 +0000 2011','Good lord #twitter send my bloody tweets! #ihateyourightnow'
microsoft,neutral,1.26690446872297472E17,'Wed Oct 19 16:05:30 +0000 2011','Steve Ballmer slams Android #microsoft #steveballmer  Microsoft CEO Steve Ballmer was highly critical of Google\'... http   t.co dgNBSbuJ'
microsoft,negative,1.26560723794010112E17,'Wed Oct 19 07:30:02 +0000 2011','#Google Apps vs. #Microsoft #Office 365    it is clear that Google Apps should be the top choice   http   t.co KDTD4zRe'
twitter,neutral,1.26882244982878208E17,'Thu Oct 20 04:47:39 +0000 2011','1*Birthday* Shout-Out to 2 of my favorite people on #twitter!! @lizpope   @TheTinyJEWELBox Happy Birthday girls!'
microsoft,negative,1.2664726494394368E17,'Wed Oct 19 13:13:55 +0000 2011','It baffles me that Steve Ballmer can be a CEO of a company  let alone a giant like #Microsoft - The guys a moron.'
microsoft,neutral,1.2674570741469184E17,'Wed Oct 19 19:45:06 +0000 2011','That Huge AOL  Yahoo  And Microsoft Ad-Selling Deal Isn\'t Done Yet (AOL  MSFT  YHOO) http   t.co Vj678HK3 #apple #microsoft'
microsoft,neutral,1.26538706944401408E17,'Wed Oct 19 06:02:33 +0000 2011','#microsoft #3Q (or 1Q12) #conferencecall 10 20 11 http   t.co zm9Dye63'
microsoft,irrelevant,1.2669923661512704E17,'Wed Oct 19 16:40:26 +0000 2011','@joffrey c\'est vrai que le message est pas très clair dans cette pub #Microsoft'
twitter,neutral,1.2685638721196032E17,'Thu Oct 20 03:04:54 +0000 2011','#TWITTER #OFF DO #BrUnODeLuCaS  �?'
google,neutral,1.2648416230258688E17,'Wed Oct 19 02:25:49 +0000 2011','#google +1 Stickers came with this month\'s Adsense cheque . http   t.co AOFYoJmE'
apple,irrelevant,1.26319126913363968E17,'Tue Oct 18 15:30:01 +0000 2011','Apple vende 4 millones de iPhone 4S en tres días http   t.co FH5T5Mi6 #turismo #martesviajero @apple'
twitter,negative,1.26877484271665152E17,'Thu Oct 20 04:28:44 +0000 2011','#Twitter ain\'t showing my current mentions or my tweets retweeted #Ughh'
microsoft,neutral,1.26636379479343104E17,'Wed Oct 19 12:30:40 +0000 2011','#Microsoft\'s Ballmer  We\'re Building Windows Server 8 Around Cloud - well I guess thats makes sense!'
google,positive,1.26498587499696128E17,'Wed Oct 19 03:23:08 +0000 2011','I\'m so ready for Ice Cream Sandwich! #ICS #Nexus #Google #Android #SiriWho? http   t.co Cjonncvk @GetGlue #Android'
google,neutral,1.26488352135450624E17,'Wed Oct 19 02:42:27 +0000 2011','#SamsungGalaxyNexus #google #android #Face Unlock.Ice Cream Sandwich literally knows your face. http   t.co vUyxwrxW'
google,irrelevant,1.26513410128089088E17,'Wed Oct 19 04:22:02 +0000 2011','#Video oficial del #Samsung Galaxy Nexus http   t.co IMid6Bem #gadgets #smartphones #galaxynexus #google #promocion'
twitter,neutral,1.26866557325426688E17,'Thu Oct 20 03:45:18 +0000 2011','Out of my 7 months of actually gettin on #Twitter. I\'ve only been in #TwitterJail lik 3 times.... #ThugLife! They were long sentences! Lol )'
apple,neutral,1.25804983185719296E17,'Mon Oct 17 05:26:59 +0000 2011','Fregon el nuevo facebook para iPod iPhone haha alomejor ya tiene rato pero yo lo acabo de actualizar @apple'
google,negative,1.26502274204831744E17,'Wed Oct 19 03:37:47 +0000 2011','Ice cream sandwich  really #google?'
apple,negative,1.2530739464019968E17,'Sat Oct 15 20:29:46 +0000 2011','Disappointing visual merchandising  @apple. Simple  but lacks elegance. And sequence doesn\'t even tell us about #Siri. http   t.co XV2q3gfi'
twitter,irrelevant,1.26869308029669376E17,'Thu Oct 20 03:56:14 +0000 2011','RT @igobythenameofA  #Follow2gain #Followme #1000ADAY #TEAMFOLLOWBACK #twitter #200aday #500aday #Followme #f4f #ff #tl #INSTANFOLLOWBAC ...'
apple,negative,1.25799384976863232E17,'Mon Oct 17 05:04:45 +0000 2011','Thanks @apple for an OS update that has only succesfully bricked my iPod.'
google,irrelevant,1.26521734076698624E17,'Wed Oct 19 04:55:06 +0000 2011','Bon. Reste plus qu\'à voir ce que ça va donner IRL. #Google #NexusPrime #Android #ICS'
apple,negative,1.25994965183635456E17,'Mon Oct 17 18:01:55 +0000 2011','@Apple unhappy again with service product quality. Won\'t buy @Apple again.'
apple,neutral,1.25598495137726464E17,'Sun Oct 16 15:46:29 +0000 2011','@Apple  feel free to accidently ship me a new iPhone 4s #nobigdeal'
microsoft,neutral,1.26647567877541888E17,'Wed Oct 19 13:15:07 +0000 2011','#Microsoft shows \'touch screen\' for any surface http   t.co sNaPW5tl'
microsoft,irrelevant,1.26607587406913536E17,'Wed Oct 19 10:36:15 +0000 2011','Wie ist es #Apple gelungen  seinen größten Rivalen #Microsoft endgültig abzuhängen? Der @guardian erklärt\'s http   t.co yE6lT3Bo (CvD)'
twitter,negative,1.26870162510057472E17,'Thu Oct 20 03:59:38 +0000 2011','Okay #Twitter  it\'d be muchhh appreciated if you could start working on my computer soon.'
google,neutral,1.2650153516007424E17,'Wed Oct 19 03:34:50 +0000 2011','#samsung #google #galaxynexus We got the lowdown after the Hong Kong press release  check it out  http   t.co OWhYR0YJ'
apple,neutral,1.26323574989520896E17,'Tue Oct 18 15:47:41 +0000 2011','RT @edatpost  .@Apple fan Eric Holder spotted at the Genius Store http   t.co OshPyV2G'
twitter,irrelevant,1.26881659516755968E17,'Thu Oct 20 04:45:19 +0000 2011','#twitter تويتر حيث تنتقل الثرثرة من اللسان الى الاصابع'
microsoft,neutral,1.26732343254851584E17,'Wed Oct 19 18:51:59 +0000 2011','At the #VMworld party  looks good but I wonder who are the better dancers  #VMware or #Microsoft employees!  -)'
apple,irrelevant,1.25352405482217472E17,'Sat Oct 15 23:28:37 +0000 2011','Causando na loja da @apple'
microsoft,negative,1.26570732430966784E17,'Wed Oct 19 08:09:48 +0000 2011','#Microsoft\'s #SteveBallmer attacks #Android phones ..... well #windows7mobile is gay  you metro! http   t.co sQnE1iLb via @Telegraph'
google,negative,1.26534476875567104E17,'Wed Oct 19 05:45:44 +0000 2011','There are too many #google services that do not work when you are a #googleapps user. #googleplus above all + profiles + #plusone'
twitter,neutral,1.26863571912114176E17,'Thu Oct 20 03:33:27 +0000 2011','I can live without facebook. just #twitter and #tumblr and #youtube proven and tested. LOL give me back my facebook nowww! LOL'
microsoft,irrelevant,1.26665539719409664E17,'Wed Oct 19 14:26:32 +0000 2011','Steve (#Microsoft) haalt uit naar #Android http   t.co nqMvktse'
microsoft,negative,1.26662601139695616E17,'Wed Oct 19 14:14:52 +0000 2011','Which planet is he living on? #Microsoft #CEO #Fail #palmface http   t.co 3zcq60SF'
twitter,neutral,1.2687143732262912E17,'Thu Oct 20 04:04:42 +0000 2011','RT @TeachHub 50 Ways to Use #Twitter in the Classroom http   t.co lJiN0See #education #ntchat'
twitter,neutral,1.2686182379749376E17,'Thu Oct 20 03:26:30 +0000 2011','@ZackSiam you just might be the most influential man in the #twitter universe'
google,positive,1.26490970803027968E17,'Wed Oct 19 02:52:52 +0000 2011','Great  live contact management  quick contact card  add people directly to.your home screen #Android4.0 #Google'
twitter,irrelevant,1.26869159341604864E17,'Thu Oct 20 03:55:39 +0000 2011','Excelente mi Ranking Global en #Twitter estoy entre  4 551 de 18 299 114  o Gracias a Ustedes y a sus RT y en Venezuela estoy de #250 yes Sr'
apple,positive,1.25165176772247552E17,'Sat Oct 15 11:04:38 +0000 2011','Love love love iOS 5!! @apple'
twitter,irrelevant,1.26862217013497856E17,'Thu Oct 20 03:28:04 +0000 2011','RT @guuuif  Meu twitter tá ficando velho já  My #twitter age is 285 days 8 hours 52 minutes 40 seconds'
microsoft,irrelevant,1.26586599772389376E17,'Wed Oct 19 09:12:51 +0000 2011','sunt la http   t.co x6icubdz #microsoft #events'
twitter,irrelevant,1.26875893481209856E17,'Thu Oct 20 04:22:24 +0000 2011','Luego de haberme acostado ayer a las 4 de la ma?ana... ahora entiendo por que me ta picando el sue?o!! #Twitter!!!! dejame dormiiiirr!!!'
google,irrelevant,1.26499256503762944E17,'Wed Oct 19 03:25:47 +0000 2011','Cómo funciona #Google AdWords  http   t.co 8kuFtEVY vía @JuanPittau'
apple,irrelevant,1.26310736577298432E17,'Tue Oct 18 14:56:40 +0000 2011','@imightbewrong @apple @inthequeencity #teamapple'
microsoft,neutral,1.26564015873867776E17,'Wed Oct 19 07:43:07 +0000 2011','@siobhancoda is your anti virus isn\'t just a 90 day trial  could leave you exposed in the near future #free #microsoft #antivirus #software'
google,irrelevant,1.26493860804308992E17,'Wed Oct 19 03:04:21 +0000 2011','ESA propaganda de #ICSNexus ya me aburrio q me dan ganas de decir q lo unico q aprecio de android es el browser q trae para abrir #Google'
apple,neutral,1.26316179429134336E17,'Tue Oct 18 15:18:18 +0000 2011','Win an @Apple iPod Touch from @Mommy_gaga  get the @Pampers Hello World Baby Memories App! http   t.co 2XJZaLCs #PampersHelloApps'
twitter,irrelevant,1.26873660442148864E17,'Thu Oct 20 04:13:32 +0000 2011','Creo k ya me saldre de #Twitter'
microsoft,neutral,1.2679720715958272E17,'Wed Oct 19 23:09:44 +0000 2011','Microsoft opens the spigot  Windows Phone Mango available to all #microsoft #windowsphone http   t.co nwMbseVm #neowin'
apple,neutral,1.25666909080387584E17,'Sun Oct 16 20:18:20 +0000 2011','If I was @Apple  I\'d publicly denounce and file suit against @Nuance. Then buy \'em on the cheap. #Siri'
microsoft,neutral,1.26496197220380672E17,'Wed Oct 19 03:13:38 +0000 2011','CEO Ballmer\'s (non)answer on whether Microsoft will build its own Windows Phone #Ballmer #Microsoft #fb http   t.co 9GuMpF8V'
apple,neutral,1.25811943054393344E17,'Mon Oct 17 05:54:39 +0000 2011','This is better than *every* magazine having their own #app! @EatMagazine @Apple supports magazines. #Ipad upgrade adds   Newsstand   #app'
twitter,neutral,1.2685871876263936E17,'Thu Oct 20 03:14:10 +0000 2011','Mo\'fucka i dont give a fuck it its #FaceBook or #Twitter i express my self how ever da fuck i can..so go suck a dick u bitch.! Haha'
microsoft,irrelevant,1.26575205048000512E17,'Wed Oct 19 08:27:35 +0000 2011','#Microsoft trapt Google Toolbar uit #Skype http   t.co m2jCbeJI #googletoolbar'
twitter,irrelevant,1.26862151343284224E17,'Thu Oct 20 03:27:48 +0000 2011','Alguien ha escuchado hablar de #blaving ? Es parecido al #twitter pero con voz  )'
google,neutral,1.26509226720903168E17,'Wed Oct 19 04:05:24 +0000 2011','Samsung And Google Announce Galaxy Nexus http   t.co I6r95xgK #samsung #galaxy #nexus #google #android #ICS #news #tech'
twitter,irrelevant,1.26878766675918848E17,'Thu Oct 20 04:33:49 +0000 2011','RT @NadaBebbars  اللى �?ى قلبى على تويترى #fact #twitter #lol'
microsoft,irrelevant,1.26770866435530752E17,'Wed Oct 19 21:25:04 +0000 2011','#Microsoft lanza sitio oficial de #Skype http   t.co zL951yca'
twitter,neutral,1.268671642537984E17,'Thu Oct 20 03:47:43 +0000 2011','Good morning #twitter.'
apple,irrelevant,1.25705666592641024E17,'Sun Oct 16 22:52:21 +0000 2011','This Moment w  @Shyah   @DianiGroves is brought to you by @NBA @Apple @Riesling oh and http   t.co tmQ50JRU'
google,neutral,1.265209841225728E17,'Wed Oct 19 04:52:07 +0000 2011','#Google confirms #Nexus S will get #Ice_Cream_Sandwich -- for real this time (#Gingerbread devices  too) http   t.co 4x69YDfE'
microsoft,positive,1.26748153952206848E17,'Wed Oct 19 19:54:49 +0000 2011','Microsoft Stores offer up free Windows Phone 7 devices #microsoft #microsoftstores http   t.co F4HwAN6Q'
apple,negative,1.25269239207706624E17,'Sat Oct 15 17:58:08 +0000 2011','In less than an hour my post- #iOS5 iPhone has gone from 100\% to 73\% battery charge and the @apple store folks have no solution for me  ('
google,positive,1.26513425043030016E17,'Wed Oct 19 04:22:05 +0000 2011','  Samsung and Google have closely collaborated to push the mobile experience forward. We are pleased to ... http   t.co ecT8fYIA #Google+'
google,positive,1.26495812724338688E17,'Wed Oct 19 03:12:06 +0000 2011','I\'m most excited about Android beam   face detection unlock for Android ICS. #AndroidBeam #Google #IceCreamSandwich'
apple,neutral,1.25586682790674432E17,'Sun Oct 16 14:59:33 +0000 2011','@CoLDSToRAGE Haven\'t had a chance to check out the #android overhaul but ebooks are likely a response to @apple newsstand baked into #iOS5'
google,neutral,1.26496634120056832E17,'Wed Oct 19 03:15:22 +0000 2011','Add me to your circles on #Google+'
twitter,neutral,1.26861149726715904E17,'Thu Oct 20 03:23:49 +0000 2011','“@JennyOrWuuut  I wishh #twitter would tell me who retweets my stuff.�?it does'
apple,irrelevant,1.25695094836826112E17,'Sun Oct 16 22:10:20 +0000 2011','@heidiknyc @apple @Badog420 Cute dinner when ur back from shanghai xx'
google,irrelevant,1.2649205324802048E17,'Wed Oct 19 02:57:10 +0000 2011','Grave c\'est même plus une demi-molle là! RT @g123k #kikitoutdur devant ICS #google #nexusprime'
apple,neutral,1.2599310572283904E17,'Mon Oct 17 17:54:31 +0000 2011','@apple is profiting a min of $400 per 4s.  They sold 4 million this weekend. That\'s another 1.6 Billion to Apples coffers! #worldRecession?'
microsoft,irrelevant,1.26631816873517056E17,'Wed Oct 19 12:12:32 +0000 2011','No sé que sería de mi sin Skype RT @GrupoTrevenque  #Skype ya es oficialmente parte de #Microsoft ¿Utilizas es… (cont) http   t.co nhJxMcfJ'
twitter,neutral,1.26883335875203072E17,'Thu Oct 20 04:51:59 +0000 2011','#ThingsWeAllHate  false advertisement via #twitter lol'
apple,neutral,1.26415618625912832E17,'Tue Oct 18 21:53:26 +0000 2011','Hey @apple  androids releasing brand new state of the art phones  whens your new phone come out? What\'s that? (cont) http   t.co 2sko9l3d'
google,irrelevant,1.2649620066809856E17,'Wed Oct 19 03:13:39 +0000 2011','Putting Leadership Back into Strategy pdf ebook   http   t.co Rcu7X2lh #google'
google,neutral,1.26500856026771456E17,'Wed Oct 19 03:32:09 +0000 2011','On Google+ then go here http   t.co iLjdQBpT #GPlus #Googleplus #Google #teamfollowback #socialnetwork'
apple,neutral,1.26061182720278528E17,'Mon Oct 17 22:25:02 +0000 2011','Apple shares hit new all-time intraday high  http   t.co uY35rrRU #win @Apple'
apple,neutral,1.26283639959990272E17,'Tue Oct 18 13:09:00 +0000 2011','ok @apple  now we got our iOS5 and #icloud  can we please have #LogicX'
microsoft,irrelevant,1.26589139150839808E17,'Wed Oct 19 09:22:57 +0000 2011','RT @NielsMoelard  Ik zoek een paar nieuwe collega\'s. Interesse? Kijk op onze site voor actuele #Microsoft #vacatures bit.ly phUYrg RT =  ...'
google,irrelevant,1.26517575336214528E17,'Wed Oct 19 04:38:35 +0000 2011','AsiaClassifiedToday FOREX-Euro recovers after Spain but downside eyed - Reuters  Globe and Ma... http   t.co o78ADSYW #asia #google #biz'
microsoft,neutral,1.26645991947513856E17,'Wed Oct 19 13:08:52 +0000 2011','I gave @RyannosaurusRex +K about Microsoft Windows on @klout http   t.co Y33v8wVr #klout #microsoft #windows'
apple,positive,1.2594329028880384E17,'Mon Oct 17 14:36:34 +0000 2011','Bravo  @Apple! http   t.co BgoTzj7K'
google,neutral,1.26523421231300608E17,'Wed Oct 19 05:01:48 +0000 2011','@loribooLIVE like Manny from degrassi (  #google her !'
microsoft,negative,1.26795554079510528E17,'Wed Oct 19 23:03:10 +0000 2011','Only people with names beginning with \'A\' are getting mail this week (a la #Microsoft)'
google,irrelevant,1.26490516186595328E17,'Wed Oct 19 02:51:03 +0000 2011','SO Hinweis  kostenlose SEO Videos  http   t.co pwldYXVE #google'
google,irrelevant,1.2650261165756416E17,'Wed Oct 19 03:39:07 +0000 2011','Camarada @michelenlared  mándale a @mvdan los enlaces de los dólares de #Google que financian a la #FSF porque no quiere creerte... xD'
microsoft,neutral,1.26557171742810112E17,'Wed Oct 19 07:15:55 +0000 2011','Microsoft talks about the Start menu search in Windows 8 http   t.co P8Go0gkS #microsoft #search #start #windows8'
twitter,neutral,1.26866520486846464E17,'Thu Oct 20 03:45:10 +0000 2011','What Is A #Facebook “Like�? Worth For Your Business? http   t.co BsT25W2u #SMM #SocialMedia #Twitter'
microsoft,neutral,1.26749486545506304E17,'Wed Oct 19 20:00:07 +0000 2011','#Microsoft Pre-order Call of Duty  Modern Warfare 3 and get $20 off Xbox Live 12M Card  $10 bounce back co.. http   t.co 3ov35Z3R'
apple,neutral,1.25300603059576832E17,'Sat Oct 15 20:02:46 +0000 2011','@apple and I\'m looking at the outside   all you see is sticky notes about steve jobs'
microsoft,neutral,1.26470128589217792E17,'Wed Oct 19 01:30:03 +0000 2011','#HPVirtualSystem for #Microsoft  latest from the $250 million I2A initiative #HPCI #cloudcomputing http   t.co yx1R3WsX'
twitter,irrelevant,1.26864460957749248E17,'Thu Oct 20 03:36:59 +0000 2011','(y) hipocritas! RT  si quieren pedirle algo a Dios oreeeen que el asi nos escucha... no que lo escriben por #facebook y #twitter -.-\''
apple,neutral,1.2600657242083328E17,'Mon Oct 17 18:48:02 +0000 2011','@jackiestone1 yes! Tech peeps talk so much about algorithms  but tech should always tie back to people. @apple proves this #imediasummit'
apple,positive,1.26213333123743744E17,'Tue Oct 18 08:29:38 +0000 2011','@blackberry is like the #Titanic and it seems everyone is running for the @apple #iPhone life rafts and there won\'t be enough for everyone!'
google,neutral,1.26526782001262592E17,'Wed Oct 19 05:15:10 +0000 2011','#Android #Google We saw Ice Cream Sandwich on a Phone  but What About a Tablet? http   t.co 6McjpONv #DhilipSiva'
apple,negative,1.26324573384871936E17,'Tue Oct 18 15:51:39 +0000 2011','@Apple  on the #iPad with #iOS5  why has the Messages Icon been included when it can\'t be used?'
twitter,neutral,1.26876009797656576E17,'Thu Oct 20 04:22:52 +0000 2011','@alexbabb9 Alexthe_ASSholeBabb should be your new #Twitter name'
twitter,negative,1.26864575508381696E17,'Thu Oct 20 03:37:26 +0000 2011','I need to get off #twitter'
twitter,neutral,1.26882617843924992E17,'Thu Oct 20 04:49:08 +0000 2011','#TroyHopson needs a #twitter. Swear'
microsoft,irrelevant,1.26617262722531328E17,'Wed Oct 19 11:14:42 +0000 2011','Tomorrow a #IPv6 presentatie #NLUUG  #Microsoft dedication to #IPv6'
twitter,neutral,1.268768237233152E17,'Thu Oct 20 04:26:06 +0000 2011','Wishing I can sleep all day 2morrow but I got practice... GN #Twitter'
apple,negative,1.25371779039502336E17,'Sun Oct 16 00:45:36 +0000 2011','Only thing #iOS.5 has done is deleted my tiger woods game and made impossible to retrieve. Thanks @Apple!'
twitter,irrelevant,1.26869070292320256E17,'Thu Oct 20 03:55:18 +0000 2011','Llega un momento que #twitter es tu desahogo'
google,neutral,1.26492274766004224E17,'Wed Oct 19 02:58:03 +0000 2011','@notch Minecraft Mobile was just mentioned by #Google while they were demoing ICS on the Nexus Prime!'
google,neutral,1.26491517924810752E17,'Wed Oct 19 02:55:02 +0000 2011','RT @jcmwright  Would love to hear from other small colleges who went #Google recently. Particularly interested in the learning tech prep ...'
apple,negative,1.26016585348558848E17,'Mon Oct 17 19:27:49 +0000 2011','“@carlton858  I really hate dealing with the brain dead people at the @apple store. For such good products  customer service sucks.�? in NZ?'
apple,irrelevant,1.25877369796968448E17,'Mon Oct 17 10:14:38 +0000 2011','Peder�?ine umobolne  oću APDEJT ne FORMAT SVEGA ISUS VAM JEBO MATER @apple'
microsoft,irrelevant,1.26566960979914752E17,'Wed Oct 19 07:54:49 +0000 2011','Outlook Connectorをインストール�?�る�?�Outlook2007�?�hotmailアカウント�?�利用�?��??る→ブラウザを立�?�上�?��?��??�?�もメールを閲覧�?��??る #Microsoft #Office #Outlook'
twitter,positive,1.26860046981279744E17,'Thu Oct 20 03:19:26 +0000 2011','@science_alex hashtags are used here #twitter gt facebook'
apple,irrelevant,1.2638558774061056E17,'Tue Oct 18 19:54:06 +0000 2011',iPhone�?�アドレス�?�@apple.ne.jp�?��?�れ�?��?��?��?��?�(´ι_`)
twitter,irrelevant,1.26876082593992704E17,'Thu Oct 20 04:23:09 +0000 2011','Image update  gt  gt    AIDS ad campaign   use condoms -  http   t.co qZqblIZB #funny #humour #twitter'
apple,neutral,1.26091878469869568E17,'Tue Oct 18 00:27:01 +0000 2011','@ATTCustomerCare @att @apple I already have an ATT wireless line. Can I buy a factory unlocked iPhone 4S with my contract?'
google,irrelevant,1.26529491819433984E17,'Wed Oct 19 05:25:56 +0000 2011','#Google kondigt #Android Ice Cream Sandwich aan http   t.co 3VT22WNY #ics'
google,neutral,1.26492059308785664E17,'Wed Oct 19 02:57:11 +0000 2011','Android beam  share any piece of information.from.one Android device to another by simply touching the devices.  #Android4.0 #Google'
twitter,neutral,1.26879548687130624E17,'Thu Oct 20 04:36:57 +0000 2011','@simonsays_payme @KaleMurphy @chatoney #twitter addict.. Tweeting while being a Lil BITCH #jerkoffmore #KYS #SMILE http   t.co 7JDvu514'
apple,neutral,1.25687710705926144E17,'Sun Oct 16 21:41:00 +0000 2011','Siri wasn\'t able to help me find the g-spot....bush league @apple'
