@relation output_tweet_blind

@attribute topicazo {apple,google,twitter,microsoft}
@attribute classs {positive,negative,neutral,irrelevant}
@attribute TweetText string

@data
apple,?,'BlackBerry RIM esta tratando de abarcar el mercado imitando a android y en ciertas cosas a Apple pero sinceramente no creo que llegue'
microsoft,?,'Microsoft Office v X for Mac Old Version Review Computer Software Plus Education Computer Software Sales http t co 4GdWlnNM'
microsoft,?,'Are you going to RSNA Visit Microsoft at booth 1411 http t co wdHFz7hp RSNA2011 RSNA11 radiology Amalga HealthVault'
microsoft,?,'LorPan87 non per nulla l ha comprato la microsoft'
microsoft,?,'one more picture of the services provided in the cloud I am in love with Microsoft http t co Q0QLeokZ'
apple,?,'apple please bring back the old Siri app for us old school iPhone 3 users'
apple,?,'picking up my iPhone4S in two hours Apple'
apple,?,'RT Apple No question bro RT AintEeenTrippin Should I get dis iPhone or a EVO 3D'
apple,?,'The new apple find my friends app is great except the part where you have to log in everytime Get back to me when this is changed'
google,?,'Empire Avenue The Social Stock Market What Is Your Online Activity Worth http t co AKlnmKAi twitter facebook Google socialmedia'
microsoft,?,'Hanging out at Microsoft Commons with VinceMayfield'
twitter,?,'Do you Share More jokes quotes music photos or news articles on Facebook or Twitter'
twitter,?,'twitter addict'
google,?,'Galaxy Nexus El nuevo tel fono de Google y Samsung http t co laKDByOT nexus google android'
twitter,?,'RT Xuuxinha o twitter pedi no que esta pensando agora se fosse pra mim s falar isso iria ficar escrevendo o dia inteiro milena'
twitter,?,'Twitter is interesting 24hrs a day Facebook is interesing 2hrs a day'
apple,?,'The official Kalifornia Cavi Mobil App is now available on the app store powered by Apple Download it free http t co HlGnvlRw'
google,?,'Check out Legiondachosen1 ft Big Hit My Life s A Movie snippet Prod by LegiondaChosen1 http t co XjTCc7j7 Google Me'
microsoft,?,'Microsoft Mango Now Available to Nearly Everyone http t co vQkJ84AC windowsphone wp7'
apple,?,'RT shanmoorthy Next year is going to be really interesting in tech as Google Amazon Facebook and Apple vie for new growth areas'
microsoft,?,'Microsoft Cloud Services federal government appears to have resulted in a decision favoring Microsoft http t co bz0uabpP'
twitter,?,'This TT was well needed cuz I thought Twitter was dien'
google,?,'GMusic une Google Music con Apple iOS Apps Apple Google iOS http t co k2T4ztCY'
microsoft,?,'Home Depot Gives DIY Shoppers More Tools to Get the Job Done http t co K4zeZSin Distribution VMI homedepot Microsoft WindowsPhone'
twitter,?,'twitter off'
microsoft,?,'Microsoft CEO Steve Ballmer on Not Buying Yahoo Sometimes You re Lucky http t co uyDNZ4r0 mcommerce business'
google,?,'DanielaS04 eso Google'
twitter,?,'I just installed the new Twidroyd for Twitter on my Android Phone It s Free give it a try http t co dN3qwkkb'
twitter,?,'My twitter age is 2 years 0 days 3 hours 31 minutes 17 seconds Find out yours at http t co xNCmtWWb twittertime'
microsoft,negative,'Microsoft freezes some Xbox accounts after hack reports http t co w051BfS0 via CanadaIT'
microsoft,?,'Microsoft s Steve Ballmer attacks Android phones http t co bkgep6zm Android Microsoft SteveBallmer Google'
microsoft,?,'Learn how you can now upload SRS reports to Microsoft CRM 2011 Online CRM2011 http t co RrcF9W2V'
twitter,?,'Put your twitter on autopilot and let it gain followers for you http t co hze1TqAl TeamFollowBack Twitter autopilot 1000aday 21'
google,?,'Android Ice Cream Sandwich and Galaxy Nexus Everything You Need to Know http t co MSqsVMDK google'
twitter,?,'el twitter x cel no s rve e un asc'
google,?,'Google has been released Android 4 0 platform http t co mvdCD0v8'
microsoft,?,'Using a Touchscreen Through Your Pocket Made Possible by Microsoft PocketTouch Have you http t co PJpFeyTF'
google,?,'People App in ICS looks promising As usual Google is good at integrating different apps and make it a total new user experience'
google,?,'Calling All IceCreamSandwich Lovers Google Samsung Like in Hong Kong A new look at what s new from Android http t co STIfQWTU'
google,?,'Google http t co rXRcc1MB'
apple,?,'Y sigue sin avisarme cuando me mencionan en Twitter pidounparche actualizenlaapp apple steve jobs mugrero'
microsoft,?,'SIGSource Microsoft s Tami Reller says get on the bus and if you don t want to be on the bus get off the road'
twitter,?,'Twitter is hella coo like farreal i love twitter'
twitter,?,'RT KiLLiN EmSoftly who follows ppl then unfollows them YourLameAsHell tryna make it seem like your somebody IMPORTANT it s onl'
apple,negative,'It would be great If Apple would send my new phone frustrated'
microsoft,negative,'My Dell comp on shitty Microsoft vista blue screened i swear this is steve jobs ghost coming back to finish what he started appledomination'
twitter,?,'I think I m addicted to checking my email twitter and facebook'
google,?,'google Tutoriel Comment faire une fermeture glissi re de fleurs Ce que vous avez besoin l aigui http t co nMmedAlW wikileaks'
google,?,'Samsung Galaxy Nexus to Launch on Three of UK http t co xaXnOPO6 talkandroid google networkspecs nttdocomo'
apple,negative,'My schedule is 2 busy 2 spend UNquality time with ATT Apple 2 recover Iphone again The mo mobile I get the mo immobile I is Sync Not'
twitter,?,'RT HdzMarin1 Mi pasatiempo favorito hoy en d a es como ver hay personas bipolares tanto en Twitter como en la vida real'
apple,negative,'remember when people used to say flat the fuck out lol and their face while saying kindahow i feel about apple'
microsoft,?,'este hueon no cacha que hay mouses que funcionan sobre cualquier superficie microsoft clubdelacomedia'
microsoft,negative,'Microsoft Adobe lose 13 5bn to piracy Report The Times of India http t co 5IbOBNrH'
google,?,'Android Google Texas Instruments confirms Galaxy Nexus has newer OMAP4460 processor http t co sh316tBN DhilipSiva'
microsoft,?,'Web 2 0 Summit Ballmer habl sobre Windows Phone y sus competidores http t co dCOh8vfp eventos microsoft'
twitter,?,'RT social net info Twitter Congratweet http t co 9osWU51e Twitter'
microsoft,?,'Microsoft Security Essential 1 115 68 0 gt http t co lZde20Vy Microsoft'
apple,?,'apple underplayed the power of the iPad via mitchjoel lt yup SOCAPac11'
google,?,'YahooAnswers Google y Wikipedia son parte del staff de Dios lo s'
google,?,'Facebook power users have gone to Google and Twitter Telegraph http t co vwCiOv1f Who are they socialmedia'
apple,?,'In honor of Steve Jobs apple RIPSteve http t co NyjhkNoU'
microsoft,?,'Microsoft lanza sitio oficial de Skype http t co pl3kPDla'
apple,?,'motoactiv Methinks apple and maybe Nike are already prepping lawsuits'
twitter,?,'Ahora el Facebook Imita al Msn y Twitter'
microsoft,?,'Ford edge Muy bonito 38k pero el sync ke usa es microsoft para los cells usara windows update panama http t co HEJ5W0YK'
apple,negative,'apple I m still waiting for you to deliver my phone to sprint'
microsoft,negative,'RT idtheftprotect Microsoft has frozen some Xbox Live XBL accounts after online gamers report they have been hacked http t co M'
apple,negative,'It s been 24hrs since I reported ups theft of my iPhone and apple has done nothing No return call as promised Nothing'
twitter,?,'Twitter after dark GoodNight an yall thought a was abt to get Nasty lol'
microsoft,?,'Excel Microsoft Office'
google,?,'New Galaxy Nexus Hardware Improvements Camera captures 1080p video nexus samsung google android bit ly nEJbyE'
microsoft,negative,'Microsoft Adobe lose 13 5bn to piracy Report http t co wXBC1UUw'
twitter,?,'twitter detik SBY Bertemu PM Malaysia di Lombok Setelah meresmikan Bandara Internasional Lombok Presiden SBY me http t co h8PI2sjX'
google,?,'New contact app builds on a magazine style layout and aggregates contact info from multiple sources Very slick Google Android ICS'
apple,?,'Apple sells 4 million on the first weekend Samsung sold over 30 million Galaxy S II phones globally'
google,?,'5in n the Air GOOGLE time kml'
twitter,negative,'RT Prettynesz twitter still not showin my mothafuckin retweets'
microsoft,?,'Vous me demandiez comment obtenir une certification Virtualisation Serveur Microsoft Si vous avez des questions http t co fC5LFiCL'
google,?,'google Nexus S ICS 4 0 SGS'
google,?,'AsiaClassifiedToday Asia Currencies Strengthen as Growth Outlook Outweighs Europe Debt Concer http t co qm8zpFgE asia google biz'
google,?,'Nexus S google android ics'
google,?,'AsiaClassifiedToday Canada Wheat Monopoly Software Piracy Swaps Rule Compliance Bloombe http t co 2PylmiMs asia google ads'
google,?,'Wow RT dalmaer WebGL infinite bookcase UI http t co aijYsfHO google'
twitter,?,'RT Hirudineajigane Twitter Thank you Read those great tweets helps live better Bows http t co FNKBW24F'
google,?,'RT twandroid SDK dispo aujourd hui google nexusprime'
microsoft,?,'First time a technology company is in the running for marketer of the year Vote David http t co xT2SWSxg Microsoft getitdone'
apple,?,'Great video apple 1987 predicting tablets a form of siri at the end of this article RT jedsinger cont http t co RDBeuCtt'
google,?,'RT twandroid Possibilit de voir les mises jour un peu comme Sony Ericsson avec l int gration Facebook google nexusprime'
twitter,?,'Oiie gente boa madruga kkkk depois de passar um temp o sem mexer no twitter agora resolvir mexer de vol x x'
apple,?,'Thanks Apple Now even more people on the bus are talking to inanimate objects Harder than ever to tell who s crazy and who s hip'
google,?,'El nuevo Android de Google GalaxyNexus con IceCreamSandwich 4 0 http t co FITenr0v'
microsoft,?,'2pi ou p di on ak resp ou so ou pap janm jwn li ankor kelkeswa app ou genyen an Mac Android e Microsoft c menm jan ak Vijinite w manz'
apple,?,'Waiting on line Apple store at west 14th Street'
google,?,'Unwrapping Ice Cream Sandwich on the Galaxy Nexus http t co TCKtgpBH Google'
google,?,'Google Android'
microsoft,?,'MuraineR Microsoft launching the OmniTouch how funny I though that was an ALUEnterprise solution copyright http t co k1kDqz04'
microsoft,?,'Watch short video on Microsoft Lync End User Adoption A practical solution for users http t co Qpk5DHEn ITPro UCOMS OCS WhyMSFT'
apple,?,'this reader button for safari is perfect for fic apple ios5 stevejobsday'
twitter,?,'twitter detik Hakim Imas Menangis Ikuti Sidang Perdana Hakim Imas Dianasari tak kuasa menahan air matanya saat d http t co G3wgjL6R'
microsoft,?,'Start your private cloud fast with the new HP VirtualSystem for Microsoft http t co XEzz42Z2 HP Microsoft HyperV SystemCenter'
microsoft,?,'Save ink by printing certain areas of your doc Highlight the text click Print under Page Range tick Selection microsoft word office'
apple,?,'I don t get it Instead of apple dropping the 16GB iPhone 4 down to 99 they release an 8GB one for 99'
twitter,?,'RT TweezardCom twitter Adam Levine Takes Aim at Evil Fox News Starts Twitter Spat http t co qcYTszff tweezard'
twitter,negative,'Just hit my hourly usage limit on twitter How does that even happen All I m doing is listing people and I was almost done ugh'
twitter,?,'RT BigMelo216 TSA On da phone wit AllThisASS she was HAPPY AF she got out Twitter JAIL thirsty lol'
apple,?,'Contra todo pron stico Samsung podr a ser el fabricante del chipA6 para Apple http t co 6utPqa5w'
twitter,?,'DICEN q estoy viciada con twitter Pero mmm NO'
apple,?,'hanrahan52 apple Don t say things you can t take back Joel'
apple,negative,'So PhoenixSwinger s iPhone 4 is giving her a hella hard time w the iOS5 update apple'
google,?,'RT RUILIFESTYLE GOOGLE THE MIXTAPE http t co v8zTtNVV'
google,?,'Online Music Industry is witnessing the astounding revolution Can Google manage to seal the supreme console http t co iUi7JtCM'
google,?,'Sorry Apple Google and Samsung just made you look bad Android is king'
twitter,?,'I tried to explain why you would do The Twitter 8220 The Twitter 8221 http t co opjnrXlb jefferypjacobs'
google,?,'Hinweis kostenlose SEO Infos http t co d3WrYCUT google'
google,?,'RT tatn Google Samsung unveil Ice Cream Sandwich powered Galaxy Nexus http t co uY7KWJiY via CNET Android'
microsoft,?,'Microsoft discontinued product named ENSEMBLE STUDIOS on October 14 2011 Review and comment http t co eJ8a2Msm'
apple,?,'Great up close personal event Apple tonight in Regent St store'
google,?,'Panoramas sur ICS google nexusprime'
microsoft,negative,'WebProNews Finance Yahoo Revenue Drop Attributed to Microsoft Deal http t co EOrOSstX'
google,?,'Google unveils Android 4 0 Ice Cream Sandwich http t co dciffpI1 via BGR'
google,?,'It Is Indeed Apple Google vs TheOldWay'
twitter,?,'so twitter who wants to buy me lunch'
apple,?,'Interesting read on war b w Apple Samsung http t co Vt9d24Yi using latter agree lack of innovation but better specs at same price'
google,negative,'They need to talk about the battery life impact of AndroidBeam It can t be good news Google Android ICS'
google,?,'ics shutter speed is insane Wow Two thumbs up google'
microsoft,?,'Microsoft renovar el Administrador de Tareas en Windows8 http t co 6UhMnWdG v a tuexperto'
google,?,'Android Google Galaxy Nexus Site is Live Register and Relive the New Features http t co 7llRSpUO DhilipSiva'
google,negative,'Google is gonna need to do better than this to beat iOS Android icecreamsandwich Google http t co tBNyX7p7'
google,?,'Las mejores aplicaciones para hablar gratis por el m vil http t co LN0pChe3 http t co iUS8431m google'
apple,negative,'samsung apple you do realise you re just really pissing off the customer base AS WELL AS looking petty'
twitter,?,'Oi flaviasansi Muito bem vinda ao meu Twitter Sempre dou followback pelo meu perfil profissional Permane a por aqui certo Abrass'
apple,?,'apple loving the new IOS5 upgrade for the iPhone'
google,?,'SamsungMobileCA Raise your hand if you now want an Android4 IceCreamSandwich powered GALAXYNexus phone Google Samsung I do'
google,?,'RT ChWilhelm Google Wallet adds coupons rewards and more retail partners http t co 1s3wWs54 li'
microsoft,?,'RT VentureBeat Ballmer We ve picked our play in social with Skype deal http t co 03IHBOgj microsoft xbox in'
twitter,?,'kreo ke mi aniversario en el twitter es el 24 de Dic O'
microsoft,?,'Google Mobile Boss Andy Rubin on Apple Microsoft and Tablets Live at AsiaD Ina Fried Mobile AllThingsD http t co S0jkqPwn'
twitter,?,'Bedtime good night twitter goodnightworld'
twitter,?,'RT CarsiMeister Lite para que sirve despues de todo si tengo a Twitter'
microsoft,?,'Vous voulez la une de LNT La nouvelle tribune de demain 20 10 11 intikhabates PJD PPS MoroccoMall Boeing Microsoft'
google,?,'Android Google Ice Cream Sandwich Feature Closer Look Roboto Type Face Is A Pleasure To Read http t co DJsp2G5B DhilipSiva'
twitter,?,'Pobres losers los que ponen en FB esto no es Twitter sea no comparen por favor'
google,?,'RT twandroid Messagerie vocale directement dans ICS google nexusprime'
twitter,?,'i ve been slackin on my twitter game'
twitter,?,'PrettyFuckn Lee Welcum too Twitter Cuz'
google,?,'VinnyMartiins colokei no Google pra saber'
google,?,'Google News Unwrapping Ice Cream Sandwich on the Galaxy Nexus Cross posted on the Google Mob http t co 0PkK7J5D harshgandhitk'
google,?,'google thoughts to sign up or not to sign up that is the question'
twitter,?,'Querida mam te escribo esta carta para dejarte tranquila no estoy todo el tiempo en Twitter Fav para pap y un RT para ti'
apple,?,'NYTimes Coach Wants to See You And Bring Your iPad http t co J2FTiEnG iPad apple set red 42 red 42 hut hut NFL wish I had an iPad'
google,?,'eboyee S tim da http t co hX21e1JK daje Server Error Google IceCreamSandwich'
apple,negative,'Apple can t send me an iPhone preordered 1hr after launching but they cans send 5 or 10 to all the jackasses who want to shoot or blend em'
google,?,'Samsung Galaxy Nexus Google Android 4 0 Live Blog http t co wwSYXAbn android google mobile news'
twitter,?,'RT VLAD5564 RT this Follow all new music TFB nymusic newmusic 5000aday 1000aday twitter dipset skullgang 730dips byrdgan'
microsoft,?,'Intervate wins content management partner of the year 2011 Microsoft techedafrica'
apple,?,'Chill lol RT apple RT Styl Standin What is imessage'
microsoft,?,'akirareiko Viste que ya html5 com no es de Apple sino de Microsoft'
twitter,?,'I didnt know there wad a test RT DashBurst Downloadable Twitter Cheat Sheet http t co bHXpqYo5'
google,?,'Samsung and Google introduce GALAXY Nexus http t co 2rvF0tZp via androidcentral Android'
twitter,?,'Going in work Break at 2 30 and 5 30 twitter time See ya ll in the am'
microsoft,?,'RT newsgrape de 3 Tricks f r mehr Kontrolle ber Microsoft Windows 7 http j mp mSOETz hack'
twitter,?,'Personally i dont have time for that and dont really care about what everyone in the world on facebook and twitter care about how i look'
twitter,?,'meu twitter sem gra a boa noite e beijos 9'
google,?,'Google announces NFC based Android Beam for sharing between phones http t co zYKEr3ax via engadget'
google,?,'iOS kan sl nga sig i v ggen ICS levererar Google'
apple,?,'apple predicts Siri in 1987 in video the video is staged for September 2011 http t co tFNRP3MD'
microsoft,?,'Microsoft d taille la recherche au sein du Start Screen http t co ZaElukM1'
google,?,'Samsung Google Unveil Latest Android OS Phone PCWorld google'
google,?,'Google releases an Infinite Digital Bookcase http t co 12AuhZ6o by MeghanKel'
microsoft,?,'RT bestrelations Por qu necesito jugar al golf los domingos http t co hvoEIp2Z Muy estilo USA pero ingeniosa campa a Microsoft'
google,?,'I just add my profile on the Google WebGL Globe project Add yours http t co UWeYalKb via AddThis'
twitter,?,'RT Charlielace Instead of updating your Twitter why don t you update your life'
microsoft,?,'RT pimentacom CPqD e Microsoft testam op o para banda larga Leia mat ria que foi destaque no Brasil Econ mico http t co wImxVTlB'
twitter,?,'TOMANOCU EU SIGO GENTE QE SO POSTA COISA EN CANADEIS UOL twitter doido'
microsoft,negative,'How Apple eclipsed Microsoft http t co IJ6XyDp3 sun rise in via guardian'
apple,?,'3 principal global players will be active in every market Amazon Apple Kobo MikeShatzkin http t co 1ndxcMO1 dbw metacon'
apple,?,'So apparently that s not the correct apple'
twitter,?,'iamRoyaltyFRESH Pls let us know if you need help w music marketing promo We got Twitter Youtube on lock http t co U0HzoVQF'
google,?,'Google unveils Ice Cream Sandwich SDK is available now http t co JHGldej9'
microsoft,?,'rilasciata la CTP di Roslyn l API compiler as a service per C e VB http t co EfGDBBUW microsoft roslyn ctp'
twitter,?,'Out of curiosity doesanyoneknow if it s against the Twitter TOS to use hashtags so eggregiously as I seem to be doing tonight'
twitter,?,'que como FACEBOOK ya paso de moda AHORS TODA A PLEBE SE VIENE A twitter'
twitter,?,'ok man down I will own TWITTER 2morrow'
apple,negative,'Why is the new apple iPhone OS duplicating all my iCal events There s 2 of everything How do I fix it tried turning iCloud off'
google,?,'Android 4 0 FINALLY includes photo editing tools Google Android ICS'
microsoft,?,'According to a writer at ExtremeTech microsoft invented squared corners Time for lawsuits moron'
apple,?,'Ever since I cleaned my Mighty Mouse ball with alcohol to get it rolling again any time I click the ball it acts like a left click Apple'
apple,negative,'NickTheFNicon He can send but not rcve txts so he has an apt apple at 4pm Then he exclaims And I waited a whole YEAR for this phone LMAO'
twitter,?,'RT mmurrayphoto Sounds like CJ20K is going down sooner than later twitter lookout'
google,?,'Great Mission Ice Cream Sandwich Google mission was to build a mobile OS that works on both phones and tablets'
twitter,?,'Twitter Offf D'
google,?,'android Google confirma que todos los dispositivos con gingerbread tendr n Ice Cream Sandwich Y desde http t co bUcSI4xy google'
google,?,'RT LCmediaHouse Google vs Facebook Get the Whole Picture for Your Marketing http t co tm2xaijB SocialMedia'
microsoft,?,'Job ICT Sachbearbeiter Immobilienbewirtschaftung m w Gfeller Treuhand und Verwaltungs AG D bendorf http t co 9ZrHM9sa Microsoft IT'
twitter,?,'negocio parado aqui t o msn e o twitter'
twitter,?,'Being Choosy With Twitter The Follow Back Conundrum http t co K2rRC2ir socialmedia twitter mediagofer media guerilla SMsavvy'
twitter,?,'Twitter Buzz Builds for the Occupy Wall Street Movement CHARTS http t co 3xZgtWFx twitter'
google,?,'Deep Linking Plugin Black http t co RnF3cNu8 seo search google hack sem it business web marketing online yes hot winning'
twitter,?,'twitter OFF'
twitter,?,'Buenas noches twitter'
apple,?,'Siri on Apple iPhone4S can allow unauthorized access to texts and emails even when the phone is locked http t co 0q5dLt22'
microsoft,?,'RT inkiworld Zo leuk om te zien dat Microsoft Apple dingen na maakt en er vernieuwend in denkt te zijn P AUGNL'
google,?,'Better gallery app to be included with Android 4 0 as well Google Android ICS'
microsoft,?,'Microsoft giving away free Windows Phones with a 499 purchase http t co GHPcGCpX Microsoft Windows Phone'
microsoft,?,'Novell w rmt alten Rechtsstreit mit Microsoft auf ITespresso de http t co JBUyD6ou'
twitter,?,'Finally off to bed Nighty night twitter world'
microsoft,?,'webespacio CEO de Microsoft somos afortunados de no haber comprado Yahoo http t co KFyLbmpJ noticias'
microsoft,?,'Smartsite prijsmodel voor Microsoft Azure cloud afgerond Volgende week eerste site live in the cloud'
twitter,?,'YAAAAAAAAY BoogieDeBeast made my Tallman Twitter list standing 6 6 BaYbeeeee'
apple,negative,'Dear Apple I don t want the newsstand icon on my screen notcool'
microsoft,?,'Microsoft s Ballmer Android phones are boring overcomplicated http t co xyM8fxD0 via BGR'
microsoft,?,'Plan Carrera microsoft technical Certificaci n desarrollador y dise ador apps empresariales visualstudio2010 http t co cVd2b2Rz Gratuito'
microsoft,?,'Microsoft lanza sitio oficial de Skype http t co QVrWRIyd'
google,?,'http t co ytNbL8sF C seo linkbuilding backlinks addurl google'
google,?,'Google Samsung announced their hopeful rebuttal to iPhone 4S tonight site shows nice specs but no carriers yet http t co Z8SDgUT9'
apple,negative,'So cutting the cord makes podcasts even harder to manage No subscriptions WTH Apple http t co LD2i871x iOS5 via carrypad'
twitter,?,'No se por que twitter saca mi lado filos fico'
apple,?,'I m loving this new IOS5 update apple'
microsoft,?,'Microsoft Stores giving away free Windows Phone devices with 499 spend microsoft wp7 free msftstore http t co QbYUm2Ce'
google,?,'iPhonologo si vi el evento pero si hay algo en lo que google es bueno es en reportes analytics es genial'
twitter,?,'RT iTuSabias Al jate de las redes sociales si acabas de terminar una relaci n en Twitter leer s las razones y en Facebook ver s por'
twitter,?,'jacobstanton2 twitter has kind of turned into our lives'
twitter,?,'todos en twitter conmocionados con SoyTuFan2daTemporada'
microsoft,?,'Una porquer a las p ginas web hechas en asp y pensar que muchas paginas del gobierno trabajan sobre esta tecnologia de Microsoft'
apple,?,'Steve Jobs Biopic Coming Soon Apple Apple SteveJobs http t co DxZBa5bG'
microsoft,?,'pardus SecureBoot a Kar Duruyoruz http t co Uiwn6fgQ fsf secureboot linux microsoft'
apple,?,'has the new iOS5 changed the way the iPad charges I ve noticed I can charge from my laptop iPhone charger now toptweets BBCClick apple'
twitter,?,'samixitoledo jajajaja pero no kiere decir q m vas a dejar de hablar adems el mio amore no tiene Twitter Jajaja'
twitter,?,'Yooooooo twitter NowThatsBASIC is the new AmberCole who wanna go 1st ayyeee she does this shit for a living'
google,?,'The most important KPIs in Google Analytics http t co uUzhIMGv marketing webmaster'
apple,negative,'shit shit shit IOS5 update ate all my apps data and media just like apple said it would This is going to take some time to rebuild'
twitter,?,'o hoy no e utilizado el twitter para nada s'
twitter,?,'YAAAAAAAAY Freakbull made my Tallman Twitter standing 6 4 BaYbeeeee'
twitter,?,'RT JOMANERH My twitter age is 234 days 13 hours 41 minutes 16 seconds Find out yours at http t co MT0VAJwd twittertime'
microsoft,?,'Cette ann e encore Microsoft remporte le prix du meilleur Service Client 2012 http t co vWHpxkVP'
microsoft,?,'Un vistazo a Windows Server 8 http t co BmcJLgDV Microsoft MSDP'
apple,?,'New mov apple store starring ichiro REPEAT PATTERN COFFEE SHOPS moda http t co kmJ0o1Ja'
twitter,?,'twitter detik PKS Akan Abaikan Kontrak Politik dengan SBY Partai Keadilan Sejahtera PKS masih berada di koalis http t co BbqFnSzm'
google,negative,'1 RT SHlFT dear google samsung learn some presentation 101 first please'
microsoft,?,'Microsoft Gelece in Teknolojisini Ara t r yor http t co J45Gm98h haberleryorumlar aray z kamera'
twitter,?,'Top 50 Twitter Acronyms Abbreviations and Initialisms http t co nEqHcJsY via ruhanirabin'
twitter,?,'wendywilliams just said she was a woman bitch please stop lien on twitter and on nationaltv we all know your a man'
twitter,?,'matheusdcb Me segue de volta Matheus ajeitei meu twitter hj'
apple,?,'iOs5 is nice and as it had to be Thanks Apple'
apple,?,'apple gonna see if anyone stayed logged into their fb or twitter TroubleMaker'
google,?,'RT vattam Man I ve fallen in love with Galaxy Nexus google samsung galaxynexus android'
apple,negative,'Is it me or does my iPhone run slower since the iOS 5 update apple Verizon'
twitter,?,'Buenas noches para todos felices sue os muuaahhzz gunaiiii twitter'
twitter,?,'ManwitPURPOSE50 what are you doing now on twitter'
apple,?,'Apple s Success is Also Google s Gain as Mobile Advertising Balloons http t co 0400ynQY'
twitter,?,'RT Is Wahooly the long awaited way to make clear the ROI of Twitter http t co rjY5WGr0 socialmedia via socialmedia2day gosocial'
google,negative,'fail on the face recognition not working google samsung'
apple,negative,'Apple can suck my dick gotta restore my ipad annoyed'
twitter,?,'My twitter age is 2 years 153 days 5 hours 6 minutes 25 seconds Find out yours at http t co NjTHu7tM twittertime'
